Portfolio Type,Index,Average Return,Variance,Standard Deviation,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10
Random,1,176309.3701304538,275.58290911193967,16.600690019151003,0.03104895281238026,0.18612450202178313,0.06032959248795719,0.19223105901651955,0.19138495890039053,0.05694290455277039,0.051960867488991286,0.0037726405780637113,0.10505501929488475,0.12114950284625925
Random,2,184688.24640524268,394.0710230803752,19.851222206211265,0.23688178287240463,0.06805177718022354,0.27149558001478225,0.048284894559640204,0.02628139478390431,0.13366161571522037,0.14650562661550562,0.031223785377785345,0.004476685210984118,0.033136857669549796
Random,3,185146.31907065274,325.9005115188829,18.052714796364643,0.17498039075974273,3.945197964259352e-09,0.07385283961304054,0.14927576907170348,0.22204031999148194,0.029298500805073617,0.06635006815918373,0.09273619719376883,0.020298535473647687,0.17116737498715945
Random,4,162022.4810270257,170.08757206128007,13.041762613285064,0.06459464088509628,0.08545682252279853,0.2344388999598312,0.10455618720651357,0.17864496120865436,0.028695457661135845,0.09557057893787896,2.3289696974622297e-05,0.07540095919617526,0.13261820272494151
Random,5,197668.4279239387,218.798057483444,14.791824007993199,0.09740718162630574,0.12967661275656178,0.10451382132423132,0.11166847530968681,0.05644774043503004,0.06300802647743099,0.0913503931961618,0.15250082160074144,0.1413686561071456,0.05205827116670439
Random,6,188295.60478583965,191.5476733739043,13.8400749049239,0.06938686850671254,0.11480792200390871,0.05627636492692687,0.15924249758297349,0.09387354744033292,0.09974852793411357,0.07684819280244763,0.14715614005289002,0.03972966333805748,0.14293027541163672
Random,7,205391.8421993368,314.55081073908565,17.735580360932246,0.1499684670949626,0.014930013060454531,0.11092897937396093,0.14264332664742835,0.08719997250885075,0.1521285096015215,0.05604392742851789,0.023836644604493924,0.10019451634657488,0.16212564333323473
Random,8,216199.3481214639,373.94504997473695,19.337658854544337,0.12614787431894245,0.021008528065960187,0.11949896306365998,0.16087054313941368,0.06347208028700427,0.033345640748228655,0.017709960304091547,0.16853527755368042,0.1926566552200231,0.09675447729899556
Random,9,193864.30083487288,267.7819791373679,16.364045317016448,0.10245454116124808,0.15788437004398997,0.10681308346301624,0.13351481388336398,0.07425922946141211,0.1183364276516523,0.013467207523137107,0.02090697306513272,0.12990181670508777,0.14246153704195974
Random,10,196668.077205338,306.2857786889104,17.501022218399427,0.10969075625983794,0.06778074146444266,0.06233283098113974,0.21569238799880547,0.004725435104651311,0.029433778277705335,0.17183545891409305,0.1415123614067297,0.04538249035520734,0.1516137592373875
